run,branch,epoch,step,group,bucket,count,mean_entropy,mean_margin,mean_ptrue
input,bigram,14,4710,seen,f2-3,16563,0.9485680696794923,0.5966592545051552,0.10097089142331973
input,bigram,14,4710,seen,f256+,294237,0.9636234251401057,0.5852684032852055,0.19229967611277393
input,bigram,14,4710,seen,f4-7,20656,0.9056620423314732,0.61006878563661,0.14238143788174468
input,bigram,14,4710,seen,f64-255,119379,0.8787079832326593,0.6138026596747651,0.21597349626819914
input,bigram,14,4710,seen,f8-15,26025,0.8724789539523705,0.6203921225772926,0.17385608826050605
input,bigram,15,5050,novel,f0,25401,1.022353084276196,0.5656653982724835,0.0058460429823516185
input,bigram,15,5050,novel,f1,0,0.0,0.0,0.0
input,bigram,15,5050,novel,f16-63,0,0.0,0.0,0.0
input,bigram,15,5050,novel,f2-3,0,0.0,0.0,0.0
input,bigram,15,5050,novel,f256+,0,0.0,0.0,0.0
input,bigram,15,5050,novel,f4-7,0,0.0,0.0,0.0
input,bigram,15,5050,novel,f64-255,0,0.0,0.0,0.0
input,bigram,15,5050,novel,f8-15,0,0.0,0.0,0.0
input,bigram,15,5050,seen,f0,0,0.0,0.0,0.0
input,bigram,15,5050,seen,f1,12905,0.9673141154223405,0.5835503524955231,0.06425793255288645
input,bigram,15,5050,seen,f16-63,74658,0.8208488999851296,0.6315744474693187,0.202011350550884
input,bigram,15,5050,seen,f2-3,16563,0.9123638198811931,0.6027946206229069,0.10072827550561618
input,bigram,15,5050,seen,f256+,294237,0.9259492777641556,0.594297597366223,0.19312686693541742
input,bigram,15,5050,seen,f4-7,20656,0.8877060745078962,0.6116870500659173,0.1436611291163056
input,bigram,15,5050,seen,f64-255,119379,0.839136187554791,0.6232394364516372,0.21788331494028956
input,bigram,15,5050,seen,f8-15,26025,0.8405693164490194,0.6272542878281142,0.1738950015273491
input,bigram,16,5390,novel,f0,25401,0.9545592455894725,0.5824574538378644,0.007964547233313862
input,bigram,16,5390,novel,f1,0,0.0,0.0,0.0
input,bigram,16,5390,novel,f16-63,0,0.0,0.0,0.0
input,bigram,16,5390,novel,f2-3,0,0.0,0.0,0.0
input,bigram,16,5390,novel,f256+,0,0.0,0.0,0.0
input,bigram,16,5390,novel,f4-7,0,0.0,0.0,0.0
input,bigram,16,5390,novel,f64-255,0,0.0,0.0,0.0
input,bigram,16,5390,novel,f8-15,0,0.0,0.0,0.0
input,bigram,16,5390,seen,f0,0,0.0,0.0,0.0
input,bigram,16,5390,seen,f1,12905,0.9123037463179697,0.5960591858929093,0.06503651564266555
input,bigram,16,5390,seen,f16-63,74658,0.7581322234934997,0.6479158853268402,0.20915220058313258
input,bigram,16,5390,seen,f2-3,16563,0.8580956713174165,0.6162969658479309,0.10144739506973917
input,bigram,16,5390,seen,f256+,294237,0.8563307509850892,0.6120418363198664,0.20016904719675713
input,bigram,16,5390,seen,f4-7,20656,0.8312501485410402,0.6231878115754073,0.14610174682037236
input,bigram,16,5390,seen,f64-255,119379,0.7757154828309466,0.6400613084603411,0.22519578820862182
input,bigram,16,5390,seen,f8-15,26025,0.7753922398545452,0.6429391086064314,0.1805697202999176
input,bigram,17,5720,novel,f0,25401,0.9345457565507088,0.5849720849028783,0.008067764575261833
input,bigram,17,5720,novel,f1,0,0.0,0.0,0.0
input,bigram,17,5720,novel,f16-63,0,0.0,0.0,0.0
input,bigram,17,5720,novel,f2-3,0,0.0,0.0,0.0
input,bigram,17,5720,novel,f256+,0,0.0,0.0,0.0
input,bigram,17,5720,novel,f4-7,0,0.0,0.0,0.0
input,bigram,17,5720,novel,f64-255,0,0.0,0.0,0.0
input,bigram,17,5720,novel,f8-15,0,0.0,0.0,0.0
input,bigram,17,5720,seen,f0,0,0.0,0.0,0.0
input,bigram,17,5720,seen,f1,12905,0.8945031063653542,0.5989482632669678,0.06149277603284406
input,bigram,17,5720,seen,f16-63,74658,0.7510504012369987,0.6496736832159561,0.20504119257203918
input,bigram,17,5720,seen,f2-3,16563,0.8491122193846298,0.6162691749783052,0.09996511992265388
input,bigram,17,5720,seen,f256+,294237,0.8377593586825139,0.6164488745452558,0.19685427783772544
input,bigram,17,5720,seen,f4-7,20656,0.8132887476061285,0.6288238113149452,0.1388368307405985
input,bigram,17,5720,seen,f64-255,119379,0.7655145960135105,0.6419326909946673,0.22148308606953176
input,bigram,17,5720,seen,f8-15,26025,0.7740695752282101,0.6408497664544242,0.17839310174558715
input,bigram,18,6060,novel,f0,25401,0.9139761049997722,0.5907317126652822,0.008213534531569006
input,bigram,18,6060,novel,f1,0,0.0,0.0,0.0
input,bigram,18,6060,novel,f16-63,0,0.0,0.0,0.0
input,bigram,18,6060,novel,f2-3,0,0.0,0.0,0.0
input,bigram,18,6060,novel,f256+,0,0.0,0.0,0.0
input,bigram,18,6060,novel,f4-7,0,0.0,0.0,0.0
input,bigram,18,6060,novel,f64-255,0,0.0,0.0,0.0
input,bigram,18,6060,novel,f8-15,0,0.0,0.0,0.0
input,bigram,18,6060,seen,f0,0,0.0,0.0,0.0
input,bigram,18,6060,seen,f1,12905,0.8658492220830054,0.6068734452936687,0.05991373409755251
input,bigram,18,6060,seen,f16-63,74658,0.7338315723185648,0.6530638138262556,0.20335338839639605
input,bigram,18,6060,seen,f2-3,16563,0.8345845115144955,0.6200161175258615,0.09746883468027885
input,bigram,18,6060,seen,f256+,294237,0.815695543279226,0.6231553458540606,0.19729057174653264
input,bigram,18,6060,seen,f4-7,20656,0.8028489935087376,0.6274956543071414,0.13669641642522543
input,bigram,18,6060,seen,f64-255,119379,0.7467793190010131,0.6475023477285977,0.22106286205182946
input,bigram,18,6060,seen,f8-15,26025,0.7564882939444526,0.6459339470810666,0.1760324908095573
input,bigram,19,6400,novel,f0,25401,0.9124858414341133,0.5897871161995147,0.007802273782432431
input,bigram,19,6400,novel,f1,0,0.0,0.0,0.0
input,bigram,19,6400,novel,f16-63,0,0.0,0.0,0.0
input,bigram,19,6400,novel,f2-3,0,0.0,0.0,0.0
input,bigram,19,6400,novel,f256+,0,0.0,0.0,0.0
input,bigram,19,6400,novel,f4-7,0,0.0,0.0,0.0
input,bigram,19,6400,novel,f64-255,0,0.0,0.0,0.0
input,bigram,19,6400,novel,f8-15,0,0.0,0.0,0.0
input,bigram,19,6400,seen,f0,0,0.0,0.0,0.0
input,bigram,19,6400,seen,f1,12905,0.8614646587651701,0.6088987456146067,0.06179329698171912
input,bigram,19,6400,seen,f16-63,74658,0.7297813329375034,0.6556329652985395,0.2026298678361393
input,bigram,19,6400,seen,f2-3,16563,0.8242272869406434,0.6257753467008139,0.09892664063755752
input,bigram,19,6400,seen,f256+,294237,0.7991868544691233,0.6285311064279023,0.19734118946422163
input,bigram,19,6400,seen,f4-7,20656,0.7987513645840563,0.6322988225028098,0.13979062269211842
input,bigram,19,6400,seen,f64-255,119379,0.7337404430798129,0.6520892446651516,0.222171692773395
input,bigram,19,6400,seen,f8-15,26025,0.7511330688826324,0.6501383060371498,0.17649992411919274
input,bigram,20,6740,novel,f0,25401,0.909295487389682,0.5919192652172762,0.006340584690435831
input,bigram,20,6740,novel,f1,0,0.0,0.0,0.0
input,bigram,20,6740,novel,f16-63,0,0.0,0.0,0.0
input,bigram,20,6740,novel,f2-3,0,0.0,0.0,0.0
input,bigram,20,6740,novel,f256+,0,0.0,0.0,0.0
input,bigram,20,6740,novel,f4-7,0,0.0,0.0,0.0
input,bigram,20,6740,novel,f64-255,0,0.0,0.0,0.0
input,bigram,20,6740,novel,f8-15,0,0.0,0.0,0.0
input,bigram,20,6740,seen,f0,0,0.0,0.0,0.0
input,bigram,20,6740,seen,f1,12905,0.8493730249089485,0.6130063827551182,0.06402818520996653
input,bigram,20,6740,seen,f16-63,74658,0.7127063345681026,0.6591369198383884,0.20848941984200878
input,bigram,20,6740,seen,f2-3,16563,0.8043537693751807,0.6319501071539484,0.1030175561380341
input,bigram,20,6740,seen,f256+,294237,0.7719506356516216,0.6356306381116892,0.20112287656515268
input,bigram,20,6740,seen,f4-7,20656,0.7865168456820777,0.6362594848619175,0.14327394057724724
input,bigram,20,6740,seen,f64-255,119379,0.7136673346913605,0.6569113418391739,0.22483234865315824
input,bigram,20,6740,seen,f8-15,26025,0.7450427382794504,0.6493479702620982,0.1799659491600047
input,trigram,1,330,novel,f0,184590,5.383860271412597,0.12277857687388766,0.07219420313840877
input,trigram,1,330,novel,f1,0,0.0,0.0,0.0
input,trigram,1,330,novel,f16-63,0,0.0,0.0,0.0
input,trigram,1,330,novel,f2-3,0,0.0,0.0,0.0
input,trigram,1,330,novel,f256+,0,0.0,0.0,0.0
input,trigram,1,330,novel,f4-7,0,0.0,0.0,0.0
input,trigram,1,330,novel,f64-255,0,0.0,0.0,0.0
input,trigram,1,330,novel,f8-15,0,0.0,0.0,0.0
input,trigram,1,330,seen,f0,0,0.0,0.0,0.0
input,trigram,1,330,seen,f1,49598,5.119066581019541,0.14459543506433437,0.10406406330874352
input,trigram,1,330,seen,f16-63,91057,4.45873106696218,0.212136202495461,0.16704638367712643
input,trigram,1,330,seen,f2-3,49885,4.9329915235698945,0.16704975925154453,0.12774966716603706
input,trigram,1,330,seen,f256+,51298,4.438554643836677,0.1822161226468503,0.1521155741504966
input,trigram,1,330,seen,f4-7,49336,4.759047569859866,0.18801706490226638,0.1463851636274993
input,trigram,1,330,seen,f64-255,65211,4.405794077343229,0.2056216666510871,0.16495084950272718
input,trigram,1,330,seen,f8-15,48849,4.567996855482525,0.20866636922428364,0.16343076929265637
input,trigram,2,670,novel,f0,184590,4.080669214702929,0.20156570340897395,0.09024657974497613
input,trigram,2,670,novel,f1,0,0.0,0.0,0.0
input,trigram,2,670,novel,f16-63,0,0.0,0.0,0.0
input,trigram,2,670,novel,f2-3,0,0.0,0.0,0.0
input,trigram,2,670,novel,f256+,0,0.0,0.0,0.0
input,trigram,2,670,novel,f4-7,0,0.0,0.0,0.0
input,trigram,2,670,novel,f64-255,0,0.0,0.0,0.0
input,trigram,2,670,novel,f8-15,0,0.0,0.0,0.0
input,trigram,2,670,seen,f0,0,0.0,0.0,0.0
input,trigram,2,670,seen,f1,49598,3.708846548518679,0.26231932743482944,0.15462622506749327
