pass,f_bin,n_seen,n_novel,seen_total,seen_table_direct,seen_backbone,novel_total,novel_table_direct,novel_backbone,margin_novel
,13-18,0.5611212387486619,1.3270474503763
,19-26,0.5111367792189675,1.2883369740785169
,27-38,0.47065492376227624,1.2791647144375704
,39-54,0.44869277606195085,1.2591972187151654
,55-78,0.4161873376359736,1.219186242986884
,79-110,0.3762007811782795,1.1757921170521013
,111-156,0.33139374554825796,1.1361015310212164
,157-220,0.3336808325453575,1.119147853507644
,221-312,0.3202174340898903,1.1118391963303682
,313-440,0.2589017163489339,1.0679780169274864
,441-624,0.26250007653037544,1.0504113767687584
,625-880,0.24326379630475675,1.0348735011532089
,881-1244,0.2522816886382529,1.0130342931042056
,1245-2048,0.2543740803760069,0.9698475399941358
,2049+,0.20835241553824566,0.9498895394732678
